wavelengths,power_meas,std_power_meas
606.0,8.635234621999998e-08,6.823534675194937e-11
607.0,8.675350001999999e-08,6.81211473168009e-11
608.0,8.714595608900003e-08,5.888916396736934e-11
609.0,8.753878603000002e-08,6.771360847792481e-11
610.0,8.793273351500001e-08,6.828411774283034e-11
611.0,8.833164799099999e-08,6.649644287534224e-11
612.0,8.8760256454e-08,7.059415746226512e-11
613.0,8.9162031997e-08,6.753842833697263e-11
614.0,8.957610433e-08,6.700593081157571e-11
615.0,9.0008937834e-08,6.783015250521241e-11
616.0,9.042673766599998e-08,6.683040559595978e-11
617.0,9.083559334200001e-08,6.941583465452109e-11
618.0,9.125997920000002e-08,7.113674060600249e-11
619.0,9.168374162199996e-08,6.807528905817282e-11
620.0,9.212862494400001e-08,6.497095156615102e-11
621.0,9.256816582799999e-08,6.454141397782523e-11
622.0,9.3013297678e-08,6.100617830715903e-11
623.0,9.3456442438e-08,6.068385401688859e-11
624.0,9.388840538299999e-08,6.616999624834998e-11
625.0,9.435006078099999e-08,6.655806741536761e-11
626.0,9.479382612400001e-08,6.824208041557788e-11
627.0,9.5246536914e-08,6.625883447014378e-11
628.0,9.571365723400002e-08,6.782034476665993e-11
629.0,9.6186864903e-08,6.508110476161664e-11
630.0,9.6647029437e-08,6.77736692267868e-11
631.0,9.7119369399e-08,6.674933686810407e-11
632.0,9.760177121899996e-08,6.333216625075967e-11
633.0,9.807212265599999e-08,6.626508746004245e-11
634.0,9.854992853299999e-08,6.924834971427057e-11
635.0,9.901854128299999e-08,6.687267334109313e-11
636.0,9.949957743300001e-08,6.414894725501036e-11
637.0,9.997949320999997e-08,6.943547954994417e-11
638.0,1.0043667513e-07,6.56375983187471e-11
639.0,1.0092466907999999e-07,6.460895065262742e-11
640.0,1.0139787786000003e-07,6.70249224257699e-11
641.0,1.0188947340000001e-07,6.600980109604966e-11
642.0,1.0235361283e-07,6.694905279958186e-11
643.0,1.0281439875000001e-07,6.407081303735364e-11
644.0,1.0326164272999999e-07,6.648273263078953e-11
645.0,1.0373658888000001e-07,6.563043103473757e-11
